hidden_dims,dropout,lr,batch_size,mae,rmse
"[256, 128, 64]",0.4,0.01,64,0.0734548419713974,0.09365191892143689
"[64, 32]",0.1,0.01,128,0.08296583592891693,0.09368798072124113
"[512, 256, 128]",0.1,0.005,128,0.0805298313498497,0.09398177424738285
"[512, 256, 128]",0.1,0.001,16,0.06667105108499527,0.094234713551086
"[64, 32]",0.3,0.005,64,0.08260904997587204,0.09462708234259488
"[1024, 512, 256]",0.2,0.005,128,0.07260561734437943,0.09471974397481982
"[512, 256, 128, 64]",0.2,0.0005,16,0.06664606183767319,0.09478507741708266
"[128, 64]",0.1,0.01,64,0.0768912136554718,0.09481157342292042
"[256, 128, 64, 32]",0.3,0.001,16,0.08602620661258698,0.0952074732739871
"[1024, 512, 256]",0.3,0.01,128,0.07609542459249496,0.09546816945094577
"[512, 256, 128]",0.2,0.0005,16,0.08033844083547592,0.09561930605977707
"[512, 256, 128, 64]",0.3,0.005,16,0.0902557224035263,0.09615511621154538
"[512, 256]",0.2,0.01,64,0.08181338012218475,0.096158699826698
"[1024, 512, 256]",0.2,0.01,128,0.06008279696106911,0.09653284982588645
"[128, 64, 32]",0.4,0.005,32,0.08409982174634933,0.09655244237099977
"[512, 256]",0.2,0.005,16,0.0890621766448021,0.09758844405801509
"[512, 256, 128]",0.3,0.0005,16,0.07403985410928726,0.09786816016501265
"[512, 256, 128]",0.2,0.01,128,0.07331258803606033,0.09793918630502962
"[512, 256, 128, 64]",0.2,0.001,32,0.07422696799039841,0.09807430905589287
"[512, 256, 128, 64]",0.4,0.005,32,0.07475153356790543,0.09843221888680861
[32],0.3,0.005,16,0.083402618765831,0.0986611920310045
"[512, 256, 128]",0.3,0.005,64,0.07912543416023254,0.09879709009035205
"[512, 256, 128]",0.4,0.01,64,0.07902050763368607,0.09908332010999105
"[256, 128, 64, 32]",0.3,0.005,32,0.07994496077299118,0.09915470624504032
"[128, 64, 32]",0.2,0.01,128,0.08163865655660629,0.09925528308028003
"[128, 64, 32]",0.3,0.01,64,0.09009207785129547,0.09949292594147371
"[512, 256, 128]",0.4,0.005,32,0.08326352387666702,0.09949545797627367
"[128, 64]",0.1,0.001,32,0.09046756476163864,0.1001018569809174
"[256, 128, 64]",0.1,0.005,64,0.08206171542406082,0.10097031620119075
"[512, 256]",0.3,0.005,32,0.0830872431397438,0.10098227866574905
"[512, 256]",0.1,0.01,128,0.08283985406160355,0.1013258689946875
[32],0.2,0.01,128,0.08748292922973633,0.10141035292808287
"[256, 128, 64]",0.2,0.001,32,0.08614084124565125,0.10143896990114748
"[512, 256, 128, 64]",0.3,0.001,16,0.07869525998830795,0.10249039085198135
"[512, 256, 128, 64]",0.2,0.005,128,0.07707931101322174,0.10267931111584662
"[256, 128, 64]",0.3,0.005,64,0.08745259046554565,0.1027029816269436
"[256, 128, 64, 32]",0.1,0.01,64,0.0683135911822319,0.10315055169375428
"[512, 256]",0.4,0.005,32,0.09038194268941879,0.1031903834494613
"[512, 256, 128, 64]",0.2,0.001,64,0.07641672343015671,0.1038273086616222
[32],0.2,0.005,16,0.09427718073129654,0.10410856076706058
"[512, 256]",0.3,0.001,64,0.07905793190002441,0.10438428191498415
"[1024, 512, 256]",0.1,0.0005,32,0.08004041761159897,0.10449242369010114
[32],0.2,0.01,64,0.0890744999051094,0.10491182611479234
"[512, 256, 128]",0.3,0.001,32,0.08883409202098846,0.10491623354875554
"[512, 256, 128]",0.2,0.0005,32,0.09351609647274017,0.10537555338673524
"[128, 64]",0.2,0.01,64,0.09326616674661636,0.10562431377549131
"[64, 32]",0.3,0.01,128,0.08906620740890503,0.10589640064876794
"[512, 256, 128, 64]",0.1,0.001,32,0.08031633496284485,0.10605410774170845
"[128, 64, 32]",0.2,0.001,64,0.08571020513772964,0.10630618636352368
"[1024, 512, 256]",0.3,0.001,32,0.08031278103590012,0.10681471901609256
"[256, 128, 64, 32]",0.2,0.001,16,0.08287009596824646,0.10841423641234044
"[512, 256, 128]",0.4,0.005,128,0.09023269265890121,0.10860282513550151
"[256, 128, 64, 32]",0.1,0.0005,32,0.08367324620485306,0.10876221659432374
"[256, 128, 64, 32]",0.1,0.001,64,0.07892180979251862,0.10876422458142238
"[256, 128, 64]",0.1,0.0005,16,0.0937817171216011,0.10891749712527223
"[1024, 512, 256]",0.3,0.001,128,0.08949675410985947,0.10896811415254593
"[128, 64]",0.3,0.005,32,0.09946639090776443,0.10936817931297689
"[64, 32]",0.3,0.005,32,0.10185717791318893,0.10973410323466624
"[256, 128, 64]",0.1,0.001,32,0.09732213616371155,0.10981796177626847
"[512, 256]",0.4,0.01,32,0.0980505496263504,0.10988012396665797
"[128, 64, 32]",0.2,0.001,16,0.09474150091409683,0.11078204105589759
"[512, 256, 128, 64]",0.1,0.0005,32,0.09492047876119614,0.11127525881328151
[32],0.4,0.005,16,0.09065704047679901,0.11168543462252498
"[512, 256, 128, 64]",0.3,0.005,64,0.0634070485830307,0.11178705088318212
"[64, 32]",0.4,0.005,32,0.1030307486653328,0.1120652881358974
"[512, 256]",0.3,0.001,16,0.09799839556217194,0.1124528281006651
"[128, 64]",0.2,0.005,64,0.09279743582010269,0.11265748213783335
"[512, 256]",0.1,0.0005,32,0.08882398903369904,0.11271925164532273
"[1024, 512, 256]",0.3,0.01,32,0.08008266240358353,0.11287415460204481
"[512, 256]",0.1,0.001,64,0.08373825997114182,0.11289275490754601
"[512, 256, 128, 64]",0.2,0.01,128,0.08012257516384125,0.1132948965863433
"[512, 256]",0.3,0.005,64,0.09139854460954666,0.1136933755368222
"[128, 64, 32]",0.4,0.005,64,0.09411920607089996,0.11371513834630104
"[256, 128, 64, 32]",0.4,0.01,128,0.09253596514463425,0.11434864036833235
"[512, 256, 128]",0.3,0.001,16,0.09464602917432785,0.11507664003598905
"[512, 256, 128]",0.3,0.005,128,0.10497446358203888,0.1153922615761687
"[1024, 512, 256]",0.2,0.001,128,0.09828812628984451,0.11543738134596984
"[256, 128, 64]",0.2,0.01,128,0.08258604258298874,0.11575939705832547
"[128, 64]",0.1,0.001,16,0.09337935596704483,0.11585020126735654
"[256, 128, 64, 32]",0.1,0.01,128,0.08105484396219254,0.11655427398751476
"[1024, 512, 256]",0.3,0.0005,32,0.09642835706472397,0.11827537716051698
"[512, 256, 128, 64]",0.4,0.01,128,0.07968556135892868,0.11846178160071519
"[512, 256, 128, 64]",0.3,0.001,32,0.10471893846988678,0.11953644974936387
"[512, 256]",0.1,0.001,32,0.0979108214378357,0.12015013126697703
"[128, 64]",0.1,0.0005,16,0.09693126380443573,0.12015099553647465
"[512, 256, 128, 64]",0.1,0.001,64,0.08640704303979874,0.12151949013160555
"[512, 256, 128, 64]",0.2,0.0005,32,0.09562855958938599,0.12167253917190965
"[128, 64, 32]",0.1,0.001,32,0.10826592892408371,0.12178283409828826
"[512, 256, 128]",0.1,0.0005,16,0.08703538775444031,0.122075359240159
"[64, 32]",0.2,0.001,16,0.10303818434476852,0.12261725158057797
"[256, 128, 64]",0.2,0.0005,16,0.10218710452318192,0.12422201074363111
"[512, 256, 128]",0.1,0.001,64,0.1081586703658104,0.12467308433755109
"[512, 256]",0.4,0.01,64,0.10697991400957108,0.12535496320477227
"[128, 64]",0.2,0.001,32,0.10508780926465988,0.12582363782750186
"[64, 32]",0.4,0.01,64,0.11201661825180054,0.12603309752625647
"[512, 256]",0.2,0.0005,16,0.1028779000043869,0.12607137675373042
"[512, 256, 128]",0.2,0.001,64,0.09968623518943787,0.12676790370653973
"[128, 64]",0.4,0.005,32,0.11735089868307114,0.12710170121290584
"[512, 256]",0.2,0.001,32,0.10611248016357422,0.1271115341776861
"[64, 32]",0.2,0.01,64,0.11355310678482056,0.12747029821059336
"[512, 256]",0.3,0.01,128,0.10536956787109375,0.12812086918615012
"[512, 256, 128]",0.3,0.0005,32,0.11177307367324829,0.12846723851498093
"[64, 32]",0.1,0.005,128,0.10177064687013626,0.12860751939291598
[32],0.2,0.01,32,0.10773509740829468,0.12905894974266
"[128, 64]",0.2,0.01,128,0.11138900369405746,0.12939425054555712
"[64, 32]",0.2,0.005,64,0.11157803982496262,0.12943365117479474
