G,AB,H,HR,BB,SO,SB,2B,3B,OPS,OBP,SLG,wOBA,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,HR/FB,wOBA,wRC,wRC+,WAR,LD%,GB%,FB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,SwStr%,Zone%,F-Strike%,OPS_target
138,505,148,18,25,101,20,33,3,0.808,0.331,0.477,0.345,0.293,0.331,0.477,0.808,0.184,0.334,0.046,0.187,0.25,0.145,0.345,77,115,3.8,0.222,0.47200000000000003,0.306,0.358,0.37,0.272,0.16699999999999998,0.45799999999999996,0.375,90.9,7.6,0.1,0.485,0.41600000000000004,0.682,0.527,0.6829999999999999,0.862,0.78,0.11599999999999999,0.418,0.623,0.808
153,557,140,15,32,112,30,27,5,0.712,0.314,0.399,0.309,0.251,0.314,0.399,0.712,0.147,0.289,0.052000000000000005,0.182,0.29,0.092,0.309,70,96,3.8,0.174,0.45299999999999996,0.373,0.431,0.32299999999999995,0.24600000000000002,0.217,0.515,0.268,84.8,13.1,0.055,0.27,0.42700000000000005,0.7040000000000001,0.539,0.6890000000000001,0.8440000000000001,0.7709999999999999,0.12300000000000001,0.40399999999999997,0.596,0.712
158,596,163,25,67,98,13,28,2,0.8,0.347,0.453,0.346,0.273,0.347,0.453,0.8,0.18,0.288,0.1,0.146,0.68,0.126,0.346,97,120,3.6,0.21100000000000002,0.392,0.396,0.366,0.384,0.25,0.12300000000000001,0.5489999999999999,0.32799999999999996,89.7,15.1,0.079,0.40299999999999997,0.295,0.711,0.467,0.687,0.878,0.8079999999999999,0.09,0.414,0.621,0.8
126,457,134,21,80,119,11,29,1,0.9,0.401,0.499,0.384,0.293,0.401,0.499,0.9,0.206,0.352,0.147,0.218,0.67,0.204,0.384,96,143,3.5,0.249,0.447,0.305,0.374,0.371,0.254,0.146,0.447,0.406,91.8,9.1,0.152,0.46799999999999997,0.366,0.7959999999999999,0.512,0.528,0.831,0.688,0.16,0.33899999999999997,0.579,0.9
120,495,134,14,22,120,23,26,2,0.731,0.315,0.416,0.316,0.271,0.315,0.416,0.731,0.145,0.331,0.042,0.226,0.18,0.109,0.316,64,100,3.5,0.21100000000000002,0.441,0.349,0.47700000000000004,0.302,0.22,0.192,0.504,0.304,85.9,10.8,0.048,0.337,0.4,0.6779999999999999,0.511,0.657,0.9209999999999999,0.7959999999999999,0.10400000000000001,0.397,0.6579999999999999,0.731
162,598,139,22,70,214,2,29,0,0.714,0.323,0.391,0.313,0.232,0.323,0.391,0.714,0.159,0.314,0.10099999999999999,0.308,0.33,0.129,0.313,82,104,3.5,0.228,0.33899999999999997,0.433,0.46799999999999997,0.332,0.2,0.129,0.504,0.36700000000000005,90.3,18.9,0.127,0.43,0.264,0.685,0.445,0.508,0.804,0.7040000000000001,0.132,0.43,0.602,0.714
153,580,157,33,62,126,5,34,0,0.851,0.351,0.5,0.359,0.271,0.351,0.5,0.851,0.229,0.292,0.095,0.192,0.49,0.184,0.359,102,124,3.4,0.18,0.428,0.39299999999999996,0.41100000000000003,0.348,0.24100000000000002,0.153,0.433,0.414,93.1,12.4,0.127,0.547,0.361,0.7909999999999999,0.525,0.708,0.7979999999999999,0.76,0.126,0.382,0.59,0.851
154,593,159,25,87,161,11,31,0,0.81,0.363,0.447,0.35,0.268,0.363,0.447,0.81,0.179,0.327,0.127,0.23399999999999999,0.54,0.154,0.35,102,122,3.4,0.21600000000000003,0.41100000000000003,0.37200000000000005,0.331,0.35200000000000004,0.317,0.14,0.478,0.382,91.3,12.8,0.11900000000000001,0.507,0.29100000000000004,0.638,0.439,0.682,0.7979999999999999,0.754,0.10800000000000001,0.42700000000000005,0.607,0.81
158,580,144,21,99,153,14,35,4,0.791,0.36,0.431,0.345,0.248,0.36,0.431,0.791,0.183,0.299,0.14300000000000002,0.221,0.65,0.131,0.345,100,120,3.4,0.213,0.41700000000000004,0.37,0.376,0.36700000000000005,0.256,0.155,0.5329999999999999,0.312,89.9,13.0,0.09,0.39,0.268,0.687,0.444,0.633,0.845,0.7709999999999999,0.102,0.42,0.593,0.791
138,543,140,30,50,109,3,21,0,0.782,0.319,0.462,0.334,0.258,0.319,0.462,0.782,0.204,0.268,0.083,0.18100000000000002,0.46,0.153,0.334,81,113,3.4,0.152,0.402,0.445,0.384,0.35,0.266,0.166,0.475,0.359,91.0,15.0,0.105,0.45899999999999996,0.32,0.727,0.493,0.637,0.8590000000000001,0.7759999999999999,0.11,0.424,0.622,0.782
